token,pos,frequency
ころ,名詞,481
庭,名詞,481
悪い,形容詞,475
胸,名詞,474
ほう,名詞,474
生きる,動詞,472
自然,名詞,470
あげる,動詞,465
朝,名詞,465
数,名詞,464
ひとり,名詞,462
歳,名詞,460
飲む,動詞,456
かかる,動詞,455
やはり,副詞,452
昔,名詞,452
ふと,副詞,450
やがて,副詞,449
おる,動詞,446
白い,形容詞,443
海,名詞,438
こ,名詞,437
いける,動詞,436
こう,副詞,434
国,名詞,433
千,名詞,433
やつ,名詞,432
夢,名詞,431
って,助詞,429
くらい,助詞,429
あの,フィラー,428
遠い,形容詞,428
月,名詞,426
について,助詞,426
申す,動詞,424
また,副詞,423
強い,形容詞,423
芸術,名詞,422
あらう,動詞,419
見せる,動詞,417
窓,名詞,417
呼ぶ,動詞,415
場,名詞,413
なさる,動詞,413
時間,名詞,412
気持,名詞,411
面,名詞,410
待つ,動詞,409
いつも,副詞,409
彼女,名詞,406
によって,助詞,406
水準,名詞,405
すべて,名詞,401
位,名詞,399
ひどい,形容詞,398
木,名詞,397
ろ,名詞,396
葉,名詞,396
流れる,動詞,396
はれる,動詞,394
夏,名詞,392
自身,名詞,390
小,接頭詞,390
問題,名詞,389
金,名詞,388
神,名詞,386
泣く,動詞,383
てる,動詞,382
みんな,名詞,382
形,名詞,381
次,名詞,381
實,名詞,380
分,名詞,380
ほる,動詞,379
生,名詞,377
け,助詞,376
文学,名詞,374
春,名詞,374
実に,副詞,374
以上,名詞,374
仕事,名詞,372
いや,名詞,372
首,名詞,371
枚,名詞,371
皆,名詞,369
わが,連体詞,368
げ,名詞,367
釣り,名詞,366
もと,名詞,364
火,名詞,364
光,名詞,364
又,接続詞,363
かつ,接続詞,363
不思議,名詞,363
画,名詞,362
場合,名詞,361
既に,副詞,361
うし,名詞,359
眺める,動詞,357
ど,助詞,357
がる,動詞,357
世,名詞,354
死,名詞,354
われ,名詞,354
乗る,動詞,353
非常,名詞,352
之,助詞,352
之,名詞,352
新しい,形容詞,352
似る,動詞,352
入れる,動詞,351
どうも,副詞,350
店,名詞,350
底,名詞,349
ああ,感動詞,347
研究,名詞,347
橋,名詞,347
書,名詞,346
受ける,動詞,345
面白い,形容詞,344
耳,名詞,343
ほか,名詞,343
達,名詞,343
円,名詞,342
送る,動詞,342
手紙,名詞,341
しか,助詞,341
を以て,助詞,336
兄,名詞,336
作品,名詞,335
雲,名詞,335
句,名詞,334
打つ,動詞,333
語,名詞,333
に対して,助詞,332
馬,名詞,331
走る,動詞,329
合,名詞,325
作る,動詞,323
無,接頭詞,323
静か,名詞,321
笑,名詞,320
いつ,名詞,320
決して,副詞,319
友人,名詞,319
と共に,助詞,318
はず,名詞,315
食べる,動詞,314
必要,名詞,314
近い,形容詞,314
始める,動詞,313
明治,名詞,313
なん,名詞,311
去る,動詞,311
いふ,名詞,310
考へる,動詞,308
ゆえ,名詞,307
まるで,副詞,307
どんな,連体詞,307
通り,名詞,307
釣,名詞,306
よる,動詞,306
新,接頭詞,306
車,名詞,306
驚く,動詞,305
入,接頭詞,305
聞える,動詞,304
主人,名詞,304
例,名詞,304
在る,動詞,303
きく,動詞,303
用,名詞,303
一緒,名詞,302
然,副詞,301
致す,動詞,301
路,名詞,300
出,名詞,300
はじめる,動詞,300
青年,名詞,300
ゆ,名詞,299
あるいは,接続詞,299
かた,名詞,299
吾,名詞,298
着る,動詞,298
冬,名詞,298
筈,名詞,297
まつ,名詞,295
昭和,名詞,294
新聞,名詞,294
なに,名詞,294
つたの,名詞,294
うい,形容詞,293
万,名詞,293
きり,名詞,293
つもり,名詞,292
近く,名詞,291
急,名詞,291
だって,助詞,291
動く,動詞,289
ある,連体詞,289
とても,副詞,287
是,名詞,287
つつ,助詞,286
寝る,動詞,286
詩,名詞,285
種,名詞,285
ども,助詞,284
江戸,名詞,284
小さな,連体詞,282
妹,名詞,282
腹,名詞,281
草,名詞,281
立てる,動詞,281
生れる,動詞,280
船,名詞,280
余,名詞,279
上る,動詞,279
奴,名詞,279
しかも,接続詞,279
最後,名詞,279
降る,動詞,278
集,名詞,277
感ずる,動詞,277
感じ,名詞,277
ん,助詞,277
だす,動詞,277
引く,動詞,277
