token,pos,frequency
はず,名詞,46
やう,名詞,45
水,名詞,45
なか,名詞,45
こういう,連体詞,45
仕方,名詞,44
また,副詞,44
ちる,動詞,44
とる,動詞,44
ただ,名詞,43
ひと,名詞,43
乙,名詞,43
食う,動詞,43
大変,名詞,43
兄さん,名詞,43
足る,動詞,42
作家,名詞,42
存在,名詞,42
歴史,名詞,42
違う,動詞,42
屋,名詞,42
動く,動詞,42
上る,動詞,41
写生,名詞,41
博士,名詞,41
小,接頭詞,41
長塚,名詞,41
気の毒,名詞,41
下さる,動詞,41
車,名詞,41
について,助詞,41
いつ,名詞,41
一般,名詞,41
夢,名詞,41
夜,名詞,41
讀む,動詞,40
け,助詞,40
去る,動詞,40
大きな,連体詞,40
もと,名詞,40
無論,副詞,40
自身,名詞,40
仕事,名詞,40
ことごとく,副詞,40
そういう,連体詞,40
のに,助詞,40
意見,名詞,40
道徳,名詞,40
暗い,形容詞,40
有,名詞,39
強い,形容詞,39
当時,名詞,39
処,名詞,39
成功,名詞,39
花,名詞,39
筆,名詞,39
性質,名詞,39
空,名詞,39
時分,名詞,39
内,名詞,38
方面,名詞,38
決して,副詞,38
ようやく,副詞,38
がる,動詞,38
皆,名詞,38
使う,動詞,38
新聞,名詞,38
英語,名詞,38
しかも,接続詞,38
研究,名詞,37
遠い,形容詞,37
這入る,動詞,37
公,名詞,37
目,名詞,37
筋,名詞,37
かん,名詞,37
まるで,副詞,37
九,名詞,37
説明,名詞,37
ん,助詞,36
門,名詞,36
程度,名詞,36
すると,接続詞,36
名,名詞,36
若い,形容詞,36
二つ,名詞,36
すでに,副詞,36
まず,副詞,36
実際,副詞,36
こん,名詞,36
関係,名詞,36
ちょっと,副詞,36
氏,名詞,36
精神,名詞,36
独,名詞,35
人物,名詞,35
篇,名詞,35
自由,名詞,35
哲学,名詞,35
波,名詞,35
急,名詞,35
これら,名詞,35
最後,名詞,35
一番,名詞,34
然し,接続詞,34
落ちる,動詞,34
程,助詞,34
今度,名詞,34
どうしても,副詞,34
驚く,動詞,34
津田,名詞,34
馬鹿,名詞,34
発展,名詞,34
開化,名詞,34
心持,名詞,34
主人,名詞,34
内容,名詞,34
しか,助詞,34
極,副詞,34
興味,名詞,33
見せる,動詞,33
やはり,副詞,33
婆さん,名詞,33
会,名詞,33
離れる,動詞,33
書,名詞,33
しばらく,副詞,33
宗,名詞,33
尤,名詞,33
なぜ,副詞,33
だって,助詞,33
又,副詞,32
親,名詞,32
仕舞,名詞,32
感じ,名詞,32
死,名詞,32
足,名詞,32
苦しい,形容詞,32
勉強,名詞,32
いや,名詞,32
春,名詞,32
世界,名詞,32
厭,名詞,32
どんな,連体詞,32
寒い,形容詞,31
長谷川,名詞,31
困る,動詞,31
運命,名詞,31
批評,名詞,31
代り,名詞,31
買う,動詞,31
うし,名詞,31
ど,助詞,31
数,名詞,31
拙い,形容詞,31
上げる,動詞,31
まあ,副詞,31
ぜ,助詞,30
なくなる,動詞,30
如何,名詞,30
文章,名詞,30
底,名詞,30
ある,連体詞,30
然,副詞,30
子,名詞,30
猫,名詞,30
たくさん,名詞,30
着る,動詞,30
詩,名詞,30
面,名詞,30
以外,名詞,30
考,名詞,29
作品,名詞,29
あつい,形容詞,29
限り,名詞,29
不,接頭詞,29
多少,副詞,29
つける,動詞,29
影,名詞,29
月,名詞,29
天下,名詞,29
いく,動詞,29
界,名詞,29
作,名詞,29
白い,形容詞,29
世,名詞,29
こ,名詞,29
特色,名詞,29
文壇,名詞,29
字,名詞,28
待つ,動詞,28
みんな,名詞,28
予備,名詞,28
記憶,名詞,28
早い,形容詞,28
やら,助詞,28
立てる,動詞,28
変化,名詞,28
御前,名詞,28
ウィリアム,名詞,28
ぜん,名詞,28
せい,名詞,28
矛盾,名詞,28
胸,名詞,28
一言,名詞,28
幾,名詞,28
美,名詞,28
無理,名詞,28
寝る,動詞,28
千,名詞,28
を以て,助詞,27
傍,名詞,27
父,名詞,27
と共に,助詞,27
競争,名詞,27
同,接頭詞,27
いくら,副詞,27
妙,名詞,27
学者,名詞,27
未来,名詞,27
行,名詞,27
もっと,副詞,27
われわれ,名詞,27
相違,名詞,27
許,名詞,27
申す,動詞,27
なさる,動詞,27
驚,名詞,27
いける,動詞,27
飯,名詞,27
静か,名詞,27
ほとんど,副詞,27
想像,名詞,27
偉大,名詞,27
既に,副詞,27
実は,接続詞,27
最も,副詞,27
赤い,形容詞,27
つい,副詞,27
程,名詞,26
階,名詞,26
海,名詞,26
呼ぶ,動詞,26
標準,名詞,26
如く,名詞,26
よる,動詞,26
他,接頭詞,26
どの,連体詞,26
奥,名詞,26
げ,名詞,26
かつ,接続詞,26
によって,助詞,26
単に,副詞,26
生,名詞,26
あるいは,接続詞,26
自,接頭詞,26
盾,名詞,26
う,感動詞,26
雑誌,名詞,26
こしらえる,動詞,26
同情,名詞,26
耳,名詞,26
科学,名詞,26
吹く,動詞,26
折,名詞,26
神経,名詞,25
窓,名詞,25
い,名詞,25
紹介,名詞,25
それでも,接続詞,25
やめる,動詞,25
人生,名詞,25
注意,名詞,25
固い,形容詞,25
別に,副詞,25
あげる,動詞,25
化,名詞,25
感じる,動詞,25
芝居,名詞,25
諸君,名詞,25
清子,名詞,25
なんか,助詞,25
はなはだ,副詞,25
すら,助詞,25
調子,名詞,25
いわゆる,連体詞,25
正岡,名詞,25
玉,名詞,25
腕,名詞,25
だい,名詞,25
起す,動詞,25
ぞ,助詞,25
政府,名詞,25
重吉,名詞,25
天,名詞,25
ほる,動詞,25
汽車,名詞,25
あの,フィラー,25
差,名詞,25
える,動詞,25
どうも,副詞,24
好き,名詞,24
依る,動詞,24
舟,名詞,24
容易,名詞,24
何だか,副詞,24
かた,名詞,24
オピニオン,名詞,24
嘘,名詞,24
再び,副詞,24
きめる,動詞,24
高等,名詞,24
感ずる,動詞,24
とうとう,副詞,24
なす,動詞,24
ける,動詞,24
ついに,副詞,24
国,名詞,24
解釈,名詞,24
いっしょ,名詞,24
住む,動詞,24
山,名詞,24
移る,動詞,24
今,接頭詞,24
作者,名詞,24
ぶる,動詞,24
説,名詞,24
らん,名詞,23
わかる,動詞,23
事件,名詞,23
価値,名詞,23
身,名詞,23
彼等,名詞,23
眺める,動詞,23
池辺,名詞,23
向う,名詞,23
しきりに,副詞,23
抱く,動詞,23
同じく,副詞,23
貰う,動詞,23
文明,名詞,23
変る,動詞,23
原稿,名詞,23
乗る,動詞,23
万年筆,名詞,23
段,名詞,23
満足,名詞,23
葉,名詞,23
尺,名詞,23
矢,名詞,23
水準,名詞,23
生れる,動詞,23
目的,名詞,23
挨拶,名詞,23
打つ,動詞,22
元,名詞,22
無,接頭詞,22
聞える,動詞,22
虚子,名詞,22
やす,助動詞,22
突然,副詞,22
候,名詞,22
看護,名詞,22
考え,名詞,22
ロマン,名詞,22
黙る,動詞,22
致す,動詞,22
従って,接続詞,22
近い,形容詞,22
出版,名詞,22
米,名詞,22
着く,動詞,22
趣味,名詞,22
たび,名詞,22
教師,名詞,22
句,名詞,22
もらう,動詞,22
状態,名詞,22
いかにも,副詞,22
す,動詞,22
俳句,名詞,22
通る,動詞,22
立場,名詞,22
けっして,副詞,22
事業,名詞,22
辞退,名詞,22
切る,動詞,22
限る,動詞,22
辺,名詞,22
ほう,名詞,22
もしくは,接続詞,22
だの,助詞,22
うまい,形容詞,22
したがって,接続詞,21
様子,名詞,21
額,名詞,21
とかいう,助詞,21
済む,動詞,21
はいる,動詞,21
希望,名詞,21
写す,動詞,21
書物,名詞,21
要求,名詞,21
あんな,連体詞,21
罪,名詞,21
かつて,副詞,21
毎日,名詞,21
中学,名詞,21
成立,名詞,21
努力,名詞,21
機会,名詞,21
偶然,名詞,21
送る,動詞,21
机,名詞,21
義務,名詞,21
たま,名詞,21
永久,名詞,21
覚える,動詞,21
赤,名詞,21
蒙る,動詞,21
頼む,動詞,21
法則,名詞,21
縁,名詞,21
序,名詞,21
涙,名詞,21
不思議,名詞,21
広い,形容詞,21
かえる,動詞,21
多く,名詞,21
偉い,形容詞,21
支配,名詞,21
幅,名詞,21
英国,名詞,21
終る,動詞,21
たる,名詞,21
横,名詞,21
頁,名詞,21
えらい,形容詞,21
付く,動詞,21
日本人,名詞,21
建築,名詞,20
社,名詞,20
安心,名詞,20
達す,動詞,20
なかなか,副詞,20
室,名詞,20
承知,名詞,20
影響,名詞,20
神,名詞,20
左右,名詞,20
現在,名詞,20
べ,助詞,20
