token,pos,frequency
こむ,動詞,81
ん,助詞,80
胸,名詞,80
つめたい,形容詞,80
暗い,形容詞,80
黒,名詞,80
ひと,名詞,79
がる,動詞,79
だって,助詞,79
所,名詞,79
ぼる,動詞,78
東,名詞,78
なさる,動詞,78
まあ,副詞,78
いつ,名詞,77
形,名詞,76
博士,名詞,76
よろこぶ,動詞,76
崖,名詞,75
にわかに,副詞,75
若い,形容詞,75
力,名詞,75
八,名詞,75
からだ,名詞,75
きく,動詞,74
仕事,名詞,74
考える,動詞,74
大将,名詞,74
めん,名詞,73
今度,名詞,73
波,名詞,73
通り,名詞,73
むく,動詞,73
だい,名詞,73
いける,動詞,73
男,名詞,73
降る,動詞,72
はねる,動詞,72
はいる,動詞,72
天,名詞,72
っと,助詞,72
きれい,名詞,72
ほん,名詞,72
きん,名詞,72
びっくり,名詞,71
七,名詞,71
どんどん,副詞,71
列,名詞,71
取る,動詞,71
あたり,名詞,71
署長,名詞,71
じっと,副詞,71
実に,副詞,71
たべる,動詞,71
蛙,名詞,70
はん,名詞,70
うん,感動詞,70
小屋,名詞,70
農夫,名詞,69
はる,動詞,69
あがる,動詞,69
あける,動詞,69
ただ,接続詞,69
戻る,動詞,69
かい,助詞,68
ば,名詞,68
そこら,名詞,68
流れる,動詞,68
とも,助詞,68
山猫,名詞,68
いふ,動詞,68
なす,動詞,68
達二,名詞,68
なんて,助詞,68
ほう,名詞,68
やっと,副詞,67
す,接頭詞,67
そっち,名詞,67
学校,名詞,67
いつか,名詞,67
向く,動詞,67
杉,名詞,67
通る,動詞,67
酒,名詞,67
岩,名詞,67
一緒,名詞,66
だす,動詞,66
いち,名詞,66
西,名詞,66
ころ,名詞,66
畑,名詞,66
考へる,動詞,65
それでも,接続詞,65
魚,名詞,65
わけ,名詞,65
穂,名詞,65
もっと,副詞,65
なあ,助詞,65
汽車,名詞,65
はじめ,名詞,65
待つ,動詞,64
はれる,動詞,64
とうとう,副詞,64
おい,名詞,64
