token,pos,frequency
枚,名詞,211
火,名詞,210
はいる,動詞,209
色,名詞,208
どんな,連体詞,208
ねずみ,名詞,207
しばらく,副詞,207
他,名詞,207
力,名詞,205
まい,助動詞,204
雨,名詞,203
げ,名詞,203
う,感動詞,203
意味,名詞,203
文学,名詞,202
円,名詞,202
おる,動詞,202
月,名詞,201
おく,動詞,201
又,接続詞,201
落ちる,動詞,201
土,名詞,201
美しい,形容詞,200
部屋,名詞,200
みたい,名詞,200
窓,名詞,199
九,名詞,199
赤,名詞,198
取る,動詞,196
なんか,助詞,194
る,助動詞,194
まあ,副詞,194
け,助詞,194
神,名詞,194
気持,名詞,192
兄さん,名詞,192
もっと,副詞,192
朝,名詞,192
笑,名詞,191
光,名詞,191
以上,名詞,190
すべて,名詞,190
石,名詞,190
夫,名詞,190
あつい,形容詞,189
こっち,名詞,189
在る,動詞,188
学校,名詞,187
つもり,名詞,187
飛ぶ,動詞,187
実に,副詞,186
わたくし,名詞,185
歳,名詞,183
待つ,動詞,183
郎,名詞,182
昔,名詞,182
後,名詞,182
屋,名詞,182
森,名詞,181
あたし,名詞,181
姿,名詞,181
だんだん,副詞,181
ども,名詞,181
いや,接続詞,180
いつも,副詞,180
一緒,名詞,179
自然,名詞,179
底,名詞,179
もん,名詞,179
とても,副詞,178
父,名詞,177
鳥,名詞,177
こんど,名詞,177
きょう,名詞,177
聞える,動詞,177
深い,形容詞,176
仕方,名詞,175
娘,名詞,174
夢,名詞,174
やら,助詞,173
もらう,動詞,173
妻,名詞,172
林,名詞,171
入れる,動詞,171
ほんとう,名詞,171
かた,名詞,171
暗い,形容詞,171
困る,動詞,170
なり,助詞,169
物,名詞,168
金,名詞,168
嘘,名詞,167
強い,形容詞,167
ど,助詞,167
いよいよ,副詞,167
これから,副詞,167
自身,名詞,165
身,名詞,165
通り,名詞,164
作品,名詞,162
はっきり,副詞,162
必要,名詞,162
とにかく,副詞,162
ん,助詞,162
長い,形容詞,162
ころ,名詞,161
馬鹿,名詞,160
筈,名詞,160
野原,名詞,158
鳴る,動詞,158
主義,名詞,157
見せる,動詞,156
感じる,動詞,156
葉,名詞,155
さあ,感動詞,154
さっき,名詞,154
向う,名詞,154
あたり,名詞,154
又,副詞,154
世界,名詞,153
だまる,動詞,153
過ぎる,動詞,153
けれど,助詞,152
受ける,動詞,152
助,名詞,152
行,名詞,151
ほか,名詞,151
はじめ,名詞,151
様子,名詞,151
うまい,形容詞,151
時間,名詞,150
寝る,動詞,150
へる,動詞,150
しか,助詞,150
なぜ,副詞,149
分,名詞,149
千,名詞,149
小,接頭詞,149
どうして,副詞,149
似る,動詞,149
如し,助動詞,148
名,名詞,148
面白い,形容詞,148
ぼる,動詞,147
変る,動詞,147
やって来る,動詞,147
だめ,名詞,147
於く,動詞,147
川,名詞,146
友人,名詞,146
呼ぶ,動詞,146
お母さん,名詞,145
なあ,助詞,145
耳,名詞,145
博士,名詞,145
思い,名詞,145
のみ,助詞,145
のぼる,動詞,145
決して,副詞,144
烏,名詞,144
名前,名詞,144
生れる,動詞,144
起る,動詞,144
きり,名詞,143
そんなに,副詞,142
新聞,名詞,142
申す,動詞,142
わが,連体詞,142
ぜ,助詞,142
海,名詞,142
青,名詞,142
信じる,動詞,142
世の中,名詞,141
点,名詞,140
呑む,動詞,140
とうとう,副詞,139
もと,名詞,139
形,名詞,138
きく,動詞,138
いふ,動詞,137
変,名詞,137
二つ,名詞,137
お父さん,名詞,137
たつ,動詞,137
からだ,名詞,137
室,名詞,136
なかなか,副詞,136
多い,形容詞,136
息,名詞,135
遠い,形容詞,135
ふと,副詞,135
もし,副詞,134
処,名詞,134
夏,名詞,133
あがる,動詞,133
おまえ,名詞,133
問題,名詞,133
なす,動詞,133
毎日,名詞,133
眺める,動詞,132
馬,名詞,132
あける,動詞,132
降る,動詞,132
わるい,形容詞,132
霧,名詞,131
ぶん,名詞,131
汽車,名詞,131
寒い,形容詞,130
せい,名詞,130
あまり,副詞,130
波,名詞,129
どの,連体詞,129
逢う,動詞,129
いたす,動詞,129
送る,動詞,129
等,名詞,128
だい,名詞,128
画,名詞,128
かく,動詞,128
みち,名詞,128
ごと,名詞,128
急,名詞,128
首,名詞,127
むく,動詞,127
はず,名詞,127
ずいぶん,副詞,127
枝,名詞,127
虔,名詞,126
作る,動詞,125
そのまま,副詞,125
星,名詞,125
好き,名詞,125
感じ,名詞,125
あんな,連体詞,125
買う,動詞,125
我,名詞,124
ばか,名詞,124
について,助詞,124
明るい,形容詞,124
こむ,動詞,124
だす,動詞,124
いきなり,副詞,124
俄,名詞,124
村,名詞,123
まず,副詞,123
食う,動詞,123
弱い,形容詞,123
ちゃ,助詞,122
どうしても,副詞,122
かえって,副詞,122
しまふ,動詞,122
犬,名詞,122
横,名詞,122
傍,名詞,121
なんだか,副詞,121
合う,動詞,121
たいへん,副詞,121
お金,名詞,121
店,名詞,121
うに,名詞,121
ある,連体詞,121
就く,動詞,121
ただ,名詞,120
非常,名詞,120
黙る,動詞,120
天,名詞,120
生徒,名詞,120
位,名詞,120
流れる,動詞,120
晩,名詞,120
主人,名詞,120
不思議,名詞,120
きれい,名詞,119
無,接頭詞,119
はじめて,副詞,119
はねる,動詞,118
坐る,動詞,118
しん,名詞,118
切る,動詞,118
考へる,動詞,117
やめる,動詞,117
文芸,名詞,117
やっと,副詞,117
やがて,副詞,117
よろこぶ,動詞,117
教える,動詞,117
いっしょ,名詞,117
